FIELDNAME,LAT,LON,PERIODDATE,Oil Production Volumes,Gas Production Volumes,Water Production Volumes,Cumulative Oil Production Volumes,Cumulative Gas Production Volumes,Cumulative Water Production Volumes
BRAGE,60.58,3.02,2009-07-01T00:00:00.000Z,132490.0,25800.0,637869.9999999999,51440810.0,5593980.0,70890130.0
BRAGE,60.58,3.02,2009-08-01T00:00:00.000Z,138350.0,27500.0,714550.0,51579160.0,5621480.0,71604680.0
BRAGE,60.58,3.02,2009-09-01T00:00:00.000Z,154890.0,31939.999999999996,786520.0,51734050.0,5653420.0,72391200.0
BRAGE,60.58,3.02,2009-10-01T00:00:00.000Z,165580.0,28310.000000000004,809269.9999999999,51899630.0,5681730.0,73200470.0
BRAGE,60.58,3.02,2009-11-01T00:00:00.000Z,153250.0,29030.0,744650.0,52052880.0,5710760.0,73945120.0
BRAGE,60.58,3.02,2009-12-01T00:00:00.000Z,102190.0,20510.0,504100.0,52155070.0,5731270.0,74449220.0
BRAGE,60.58,3.02,2010-01-01T00:00:00.000Z,155690.00000000003,30719.999999999996,776360.0,52310760.0,5761990.0,75225580.0
BRAGE,60.58,3.02,2010-02-01T00:00:00.000Z,146620.0,28640.0,691790.0,52457380.0,5790630.0,75917370.0
BRAGE,60.58,3.02,2010-03-01T00:00:00.000Z,157080.0,29320.0,687539.9999999999,52614460.0,5819950.0,76604910.0
BRAGE,60.58,3.02,2010-04-01T00:00:00.000Z,142050.0,29380.0,668640.0,52756510.0,5849330.0,77273550.0
BRAGE,60.58,3.02,2010-05-01T00:00:00.000Z,170670.00000000003,39060.00000000001,701480.0,52927180.0,5888390.0,77975030.0
BRAGE,60.58,3.02,2010-06-01T00:00:00.000Z,158190.0,34760.0,666250.0,53085370.0,5923150.0,78641280.0
BRAGE,60.58,3.02,2010-07-01T00:00:00.000Z,128110.0,30570.0,650660.0,53213480.0,5953720.0,79291940.0
BRAGE,60.58,3.02,2010-08-01T00:00:00.000Z,103090.00000000001,25460.0,577660.0000000001,53316570.0,5979180.0,79869600.0
BRAGE,60.58,3.02,2010-09-01T00:00:00.000Z,65600.0,16850.0,394610.0,53382170.0,5996030.0,80264210.0
BRAGE,60.58,3.02,2010-10-01T00:00:00.000Z,91080.0,26270.0,662570.0,53473250.0,6022300.0,80926780.0
BRAGE,60.58,3.02,2010-11-01T00:00:00.000Z,118829.99999999999,34190.0,724500.0,53592080.0,6056490.0,81651280.0
